id_transaction,date_transaction,id_fournisseur,id_categorie,id_centre_cout,id_acheteur,id_contrat,montant_ht,devise,statut_validation,delai_traitement_jours,flag_maverick
TR-0000001,2023-06-01,FRN-185,CAT-033,CC-012,ACH-018,,4334.34,EUR,Validé,5,False
TR-0000002,2023-12-24,FRN-010,CAT-002,CC-016,ACH-034,CTR-016,17810.05,EUR,Validé,6,False
TR-0000003,2023-05-25,FRN-021,CAT-001,CC-004,ACH-006,,54007.49,EUR,Validé,4,False
TR-0000004,2023-06-18,FRN-095,CAT-014,CC-002,ACH-007,CTR-040,475.2,EUR,Validé,3,False
TR-0000005,2023-07-12,FRN-115,CAT-010,CC-007,ACH-003,,473.12,EUR,Validé,10,True
TR-0000006,2023-07-11,FRN-116,CAT-018,CC-020,ACH-040,,4597.02,EUR,Validé,3,False
TR-0000007,2023-01-02,FRN-188,CAT-033,CC-012,ACH-024,,15359.63,EUR,Validé,17,True
TR-0000008,2023-11-12,FRN-143,CAT-022,CC-012,ACH-023,CTR-055,9676.52,EUR,Validé,7,False
TR-0000009,2023-01-24,FRN-094,CAT-014,CC-004,ACH-013,CTR-035,201.75,EUR,Validé,6,False
TR-0000010,2023-01-27,FRN-016,CAT-001,CC-003,ACH-015,CTR-006,7964.44,EUR,Validé,4,False
TR-0000011,2023-06-28,FRN-198,CAT-038,C-001,ACH-014,,242.53,EUR,Validé,15,True
TR-0000012,2023-04-11,FRN-111,CAT-011,CC-010,ACH-024,,1089.9,EUR,Validé,12,True
TR-0000013,2023-09-09,FRN-092,CAT-013,CC-004,ACH-015,CTR-039,1075.61,EUR,Validé,5,False
TR-0000014,2023-12-27,FRN-195,CAT-039,CC-005,ACH-015,,265.71,EUR,Validé,13,True
TR-0000015,2023-06-01,FRN-129,CAT-020,CC-010,ACH-019,CTR-042,2335.3,EUR,Validé,9,False
TR-0000016,2023-05-11,FRN-095,CAT-015,CC-010,ACH-018,CTR-040,706.95,EUR,Validé,7,False
TR-0000017,2023-01-22,FRN-099,CAT-014,CC-008,ACH-013,,1174.49,EUR,Validé,11,True
